VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,1/1/2019 0:58,1/1/2019 1:15,1,2.7,1,N,141,234,1,13,0.5,0.5,1,0,0.3,15.3,
2,1/1/2019 0:23,1/1/2019 0:25,1,0.38,1,N,170,170,2,3.5,0.5,0.5,0,0,0.3,4.8,
2,1/1/2019 0:39,1/1/2019 0:48,1,0.55,1,N,170,170,1,6.5,0.5,0.5,1.95,0,0.3,9.75,
2,1/1/2019 0:46,1/1/2019 0:49,1,0.3,1,N,107,107,1,4,0.5,0.5,1.06,0,0.3,6.36,
2,1/1/2019 0:57,1/1/2019 1:03,1,1.42,1,N,170,141,1,6.5,0.5,0.5,1.56,0,0.3,9.36,
2,1/1/2019 0:16,1/1/2019 0:25,1,1.72,1,N,41,247,2,9,0.5,0.5,0,0,0.3,10.3,
2,1/1/2019 0:46,1/1/2019 0:47,1,0.06,1,N,116,42,2,2.5,0.5,0.5,0,0,0.3,3.8,
1,1/1/2019 0:48,1/1/2019 1:00,1,1.5,1,N,113,90,2,7.5,0.5,0.5,0,0,0.3,8.8,
1,1/1/2019 0:55,1/1/2019 1:11,1,1.2,1,N,161,170,1,10.5,0.5,0.5,2.95,0,0.3,14.75,
1,1/1/2019 0:19,1/1/2019 0:57,1,12.3,1,N,138,50,1,38,0.5,0.5,4,5.76,0.3,49.06,
1,1/1/2019 0:13,1/1/2019 0:22,1,1.3,1,N,144,261,2,7.5,0.5,0.5,0,0,0.3,8.8,
1,1/1/2019 0:26,1/1/2019 0:39,1,1.9,1,N,231,79,1,10.5,0.5,0.5,2,0,0.3,13.8,
1,1/1/2019 0:50,1/1/2019 1:11,1,4.6,1,N,107,181,2,19,0.5,0.5,0,0,0.3,20.3,
1,1/1/2019 0:17,1/1/2019 0:22,3,0.6,1,N,161,229,1,5.5,0.5,0.5,1.35,0,0.3,8.15,
1,1/1/2019 0:32,1/1/2019 0:32,3,0,1,Y,237,264,2,6.5,0.5,0.5,0,0,0.3,7.8,
1,1/1/2019 0:43,1/1/2019 0:58,2,3,1,N,263,107,1,12,0.5,0.5,2.65,0,0.3,15.95,
2,1/1/2019 0:52,1/1/2019 1:03,1,2.1,1,N,151,142,2,9.5,0.5,0.5,0,0,0.3,10.8,
2,1/1/2019 0:11,1/1/2019 0:40,1,6.57,1,N,231,238,1,24,0.5,0.5,5.06,0,0.3,30.36,
2,1/1/2019 0:43,1/1/2019 0:49,1,1.03,2,N,238,239,2,52,0,0.5,0,0,0.3,52.8,
2,1/1/2019 0:08,1/1/2019 0:41,2,19.13,2,N,132,238,1,52,0,0.5,11.71,5.76,0.3,70.27,
2,1/1/2019 0:47,1/1/2019 0:53,2,1.43,1,N,239,236,2,7,0.5,0.5,0,0,0.3,8.3,
1,1/1/2019 0:17,1/1/2019 0:30,1,4.2,1,N,264,229,1,15,0.5,0.5,3.25,0,0.3,19.55,
1,1/1/2019 0:41,1/1/2019 1:51,1,11.2,1,N,141,83,2,46.5,0.5,0.5,0,0,0.3,47.8,
1,1/1/2019 0:15,1/1/2019 0:22,4,1.5,1,N,151,142,2,8,0.5,0.5,0,0,0.3,9.3,
1,1/1/2019 0:27,1/1/2019 0:39,2,3.1,1,N,142,263,1,11.5,0.5,0.5,1.5,0,0.3,14.3,
1,1/1/2019 0:42,1/1/2019 0:46,2,0.7,1,N,263,140,2,4.5,0.5,0.5,0,0,0.3,5.8,
1,1/1/2019 0:52,1/1/2019 0:57,2,1.2,1,N,229,141,2,6,0.5,0.5,0,0,0.3,7.3,
1,1/1/2019 0:37,1/1/2019 0:51,2,1.3,1,N,249,234,1,10,0.5,0.5,2.25,0,0.3,13.55,
1,1/1/2019 0:56,1/1/2019 1:07,3,1.7,1,N,137,161,2,9,0.5,0.5,0,0,0.3,10.3,
2,1/1/2019 0:55,1/1/2019 1:30,3,5.23,1,N,90,181,1,24.5,0.5,0.5,4,0,0.3,29.8,
1,1/1/2019 0:33,1/1/2019 0:39,2,0.8,1,N,170,137,1,5.5,0.5,0.5,2,0,0.3,8.8,
1,1/1/2019 0:46,1/1/2019 0:56,2,1.1,1,N,162,140,1,7.5,0.5,0.5,1.75,0,0.3,10.55,
1,1/1/2019 0:57,1/1/2019 1:18,1,8,1,N,140,243,2,24.5,0.5,0.5,0,0,0.3,25.8,
2,1/1/2019 0:26,1/1/2019 0:40,1,4.1,1,N,137,75,1,14,0.5,0.5,0,0,0.3,15.3,
2,1/1/2019 0:44,1/1/2019 0:55,1,2.69,1,N,236,41,2,10.5,0.5,0.5,0,0,0.3,11.8,
2,1/1/2019 0:57,1/1/2019 1:13,1,4.36,1,N,41,50,1,15.5,0.5,0.5,3.36,0,0.3,20.16,
2,1/1/2019 0:36,1/1/2019 0:54,2,3.79,1,N,68,88,1,14.5,0.5,0.5,4.74,0,0.3,20.54,
2,1/1/2019 0:56,1/1/2019 1:12,2,3.52,1,N,88,90,2,13.5,0.5,0.5,0,0,0.3,14.8,
1,1/1/2019 0:19,1/1/2019 0:28,1,1.5,1,N,74,168,2,8,0.5,0.5,0,0,0.3,9.3,
1,1/1/2019 0:10,1/1/2019 0:13,1,0.7,1,N,249,113,1,4.5,0.5,0.5,1.15,0,0.3,6.95,
1,1/1/2019 0:17,1/1/2019 0:34,2,2.1,1,N,79,161,2,12,0.5,0.5,0,0,0.3,13.3,
1,1/1/2019 0:58,1/1/2019 1:07,2,1.4,1,N,107,79,1,8,0.5,0.5,2.3,0,0.3,11.6,
1,1/1/2019 0:21,1/1/2019 0:41,1,3.6,1,N,170,75,2,15.5,0.5,0.5,0,0,0.3,16.8,
1,1/1/2019 0:45,1/1/2019 1:24,1,5.2,1,N,75,246,1,25.5,0.5,0.5,5.35,0,0.3,32.15,
1,1/1/2019 0:20,1/1/2019 0:33,2,1.3,1,N,264,170,1,9.5,0.5,0.5,2.15,0,0.3,12.95,
1,1/1/2019 0:35,1/1/2019 0:42,1,1.7,1,N,233,141,1,7.5,0.5,0.5,2,0,0.3,10.8,
1,1/1/2019 0:53,1/1/2019 1:07,1,1.9,1,N,229,234,2,10.5,0.5,0.5,0,0,0.3,11.8,
1,1/1/2019 0:21,1/1/2019 0:35,1,2.6,1,N,148,246,2,12,0.5,0.5,0,0,0.3,13.3,
1,1/1/2019 0:36,1/1/2019 0:56,2,2.9,1,N,246,79,1,14,0.5,0.5,3,0,0.3,18.3,
2,1/1/2019 0:15,1/1/2019 0:33,2,2.08,1,N,48,68,1,12.5,0.5,0.5,3.45,0,0.3,17.25,
2,1/1/2019 0:53,1/1/2019 1:10,2,0.74,1,N,68,68,2,11,0.5,0.5,0,0,0.3,12.3,
2,1/1/2019 0:10,1/1/2019 0:24,1,2.26,1,N,107,161,1,11,0.5,0.5,2.46,0,0.3,14.76,
2,1/1/2019 0:30,1/1/2019 0:34,1,0.93,1,N,161,162,2,5,0.5,0.5,0,0,0.3,6.3,
2,1/1/2019 0:38,1/1/2019 0:53,1,4.4,1,N,162,151,2,15,0.5,0.5,0,0,0.3,16.3,
2,1/1/2019 0:35,1/1/2019 1:14,1,18.15,2,N,132,224,1,52,0,0.5,11.71,5.76,0.3,70.27,
2,1/1/2019 0:00,1/1/2019 1:03,2,7.37,1,N,237,264,2,23.5,0.5,0.5,0,0,0.3,24.8,
1,1/1/2019 0:04,1/1/2019 0:38,4,18.1,2,N,132,224,1,52,0,0.5,5,0,0.3,57.8,
1,1/1/2019 0:53,1/1/2019 1:10,4,4.1,1,N,79,112,1,16,0.5,0.5,3.45,0,0.3,20.75,
2,1/1/2019 0:42,1/1/2019 0:54,1,1.38,1,N,163,48,1,9,0.5,0.5,2.06,0,0.3,12.36,
2,1/1/2019 0:57,1/1/2019 1:17,1,4.55,1,N,48,42,1,17,0.5,0.5,4.58,0,0.3,22.88,
2,1/1/2019 0:36,1/1/2019 0:47,1,1.67,1,N,237,263,1,9.5,0.5,0.5,3.24,0,0.3,14.04,
2,1/1/2019 0:49,1/1/2019 1:13,1,2.68,1,N,263,48,1,16.5,0.5,0.5,2,0,0.3,19.8,
1,1/1/2019 0:09,1/1/2019 0:15,3,0.6,1,N,137,233,1,5.5,0.5,0.5,1.35,0,0.3,8.15,
1,1/1/2019 0:55,1/1/2019 1:11,4,2.9,1,N,161,236,1,12.5,0.5,0.5,2.76,0,0.3,16.56,
2,1/1/2019 0:17,1/1/2019 0:24,2,0.95,1,N,246,68,1,6.5,0.5,0.5,0,0,0.3,7.8,
2,1/1/2019 0:26,1/1/2019 0:50,4,2.01,1,N,68,170,1,15,0.5,0.5,3.26,0,0.3,19.56,
2,1/1/2019 0:51,1/1/2019 0:57,4,0.67,1,N,170,161,2,5.5,0.5,0.5,0,0,0.3,6.8,
1,1/1/2019 0:18,1/1/2019 0:24,1,1,1,N,144,249,2,6,0.5,0.5,0,0,0.3,7.3,
1,1/1/2019 0:26,1/1/2019 0:34,1,1.9,1,N,249,13,1,8,0.5,0.5,2.75,0,0.3,12.05,
1,1/1/2019 0:56,1/1/2019 1:24,1,9.4,1,N,88,151,1,30,0.5,0.5,6.25,0,0.3,37.55,
1,1/1/2019 0:19,1/1/2019 0:29,1,1.9,1,N,143,151,1,9.5,0.5,0.5,2.7,0,0.3,13.5,
1,1/1/2019 0:37,1/1/2019 0:44,1,1.4,1,N,143,238,1,7,0.5,0.5,1.65,0,0.3,9.95,
1,1/1/2019 0:48,1/1/2019 0:54,1,0.5,1,N,239,239,1,5.5,0.5,0.5,1.35,0,0.3,8.15,
1,1/1/2019 0:00,1/1/2019 0:09,1,1.8,1,N,249,4,2,8.5,0.5,0.5,0,0,0.3,9.8,
1,1/1/2019 0:10,1/1/2019 0:51,1,3.8,1,N,4,246,2,25,0.5,0.5,0,0,0.3,26.3,
1,1/1/2019 0:53,1/1/2019 1:21,1,4.3,1,N,68,4,2,19.5,0.5,0.5,0,0,0.3,20.8,
1,1/1/2019 0:50,1/1/2019 1:08,2,3.3,1,N,164,262,1,14.5,0.5,0.5,3.15,0,0.3,18.95,
1,1/1/2019 0:06,1/1/2019 0:22,1,3.1,1,N,90,148,2,13,0.5,0.5,0,0,0.3,14.3,
1,1/1/2019 0:29,1/1/2019 0:32,1,0.6,1,N,148,232,1,4,0.5,0.5,1.06,0,0.3,6.36,
1,1/1/2019 0:33,1/1/2019 0:41,1,1.5,1,N,232,79,1,8,0.5,0.5,1.99,0,0.3,11.29,
1,1/1/2019 0:43,1/1/2019 1:01,1,3.6,1,N,79,141,1,14.5,0.5,0.5,3.15,0,0.3,18.95,
2,1/1/2019 0:02,1/1/2019 0:10,2,2.57,1,N,45,97,1,9.5,0.5,0.5,2.16,0,0.3,12.96,
2,1/1/2019 0:24,1/1/2019 0:35,2,2.44,1,N,144,256,2,10.5,0.5,0.5,0,0,0.3,11.8,
2,1/1/2019 0:46,1/1/2019 1:06,1,4.18,1,N,79,263,1,16,0.5,0.5,3.46,0,0.3,20.76,
1,1/1/2019 0:16,1/1/2019 0:19,1,1,1,N,140,233,1,5,0.5,0.5,1,0,0.3,7.3,
